No,Nama Notasi,Nama Resmi Lean,Kategori,Penjelasan Sederhana,Analogi Sehari-hari,Contoh Kasus QuickBite,Makna Lean (Waste / Value Added)
1,Pelanggan / Pemasok Luar (Customer / Supplier),Customer / Supplier Box,Alur Fisik / Material,Kotak bergigi atap pabrik yang mewakili pihak luar sistem: entitas pemesan (Customer/Pelanggan) atau penyedia bahan baku (Supplier/Pemasok).,Pelanggan yang memesan di kasir atau mobil boks distributor telur yang mengirim pasokan.,Mahasiswa kampus yang memesan makan siang di tenant QuickBite (Demand: 120 pesanan/hari).,Menjadi titik tolak penentu Takt Time (kecepatan permintaan pelanggan yang harus dipenuhi pabrik/layanan).
2,Kotak Tahapan Proses (Dedicated Process Box),Process Box,Alur Fisik / Material,Satu blok tahapan kerja di mana suatu aktivitas fisik atau layanan sedang aktif dikerjakan secara berkelanjutan.,Meja penggorengan di dapur tempat koki aktif memasak makanan.,Tahap 3: Persiapan & Memasak pesanan makanan oleh koki di dapur tenant.,Tempat terjadinya aktivitas bernilai tambah (Value-Added) dan waktu siklus proses (Process Time).
3,Kotak Metrik Operasional (Data Box),Data Box,Alur Fisik / Material,"Tabel data kecil tepat di bawah kotak proses yang mencatat parameter kinerja terukur seperti waktu kerja, jumlah staf, dan ukuran batch.","Dashboard speedometer mobil yang memperlihatkan kecepatan, jarak, dan sisa bahan bakar.","PT (Process Time) = 8 Menit, Operator = 1 Koki, Ukuran Batch = 1 Porsi.",Dasar perhitungan kuantitatif untuk membandingkan kapasitas tiap stasiun kerja dan menemukan bottleneck.
4,Segitiga Tumpukan / Waktu Tunggu (Inventory / Queue),Inventory Triangle (WIP),Alur Fisik / Material,"Segitiga kuning bersimbol ""I"" yang menandakan adanya barang, dokumen, atau orang yang menganggur/tertahan menunggu giliran diproses.",Mobil-mobil yang macet mengular di depan gerbang tol yang sempit.,Tumpukan 5 lembar nota fisik yang dibiarkan menunggu di meja kasir sebelum diantar ke dapur (Wait Time = 5 Menit).,Simbol utama pemborosan (Waste of Inventory & Waiting). Menyumbang porsi terbesar keterlambatan Lead Time.
5,Panah Dorong Hasil (Push Arrow / Movement),Push Arrow (Material Movement),Alur Fisik / Material,Panah tebal bergaris belang-belang yang menandakan bahwa hasil kerja dipindahkan secara sepihak ke tahap berikutnya tanpa menunggu sinyal kebutuhan (Push System).,"Memasak 50 porsi nasi goreng sekaligus dan menumpuknya di etalase, berharap ada yang beli.",Kasir menumpuk nota dan langsung melemparnya ke meja dapur secara sepihak (Overproduction Push).,"Mengindikasikan sistem kerja tradisional ""Push"" yang rentan memicu penumpukan barang berlebih (Work-In-Process)."
6,Jalur Antrean Teratur (FIFO Lane),First-In-First-Out (FIFO) Lane,Alur Fisik / Material,"Jalur penyimpanan terbatas dengan aturan siapa yang masuk duluan harus diproses duluan, dan memiliki kapasitas maksimal tertentu.",Antrean kasir tol otomatis: mobil yang masuk pertama harus keluar pertama.,Rel jepitan nota pesanan di atas kompor koki dengan kapasitas maksimal 10 nota berurutan.,Mencegah kekacauan urutan pesanan dan membatasi jumlah penumpukan agar tidak melebihi batas toleransi.
7,Rak Penampung Tarik (Supermarket Pull),Supermarket,Alur Fisik / Material,"Tempat penyimpanan sementara berskala kecil di mana tahap berikutnya hanya mengambil barang jika memang dibutuhkan, lalu segera diisi kembali.",Rak minuman di minimarket: kasir hanya mengisi rak ketika stok di rak mulai kosong diambil pembeli.,Wadah potongan ayam tepung yang sudah dimarinasi; koki hanya mengambil sesuai pesanan yang masuk.,Jantung dari sistem Lean Pull (Just-In-Time) untuk menjaga persediaan tetap minimum dan terhindar dari pemborosan stok.
8,Alur Informasi Manual (Kertas / Lisan),Manual Information Flow,Alur Informasi,Garis panah tipis lurus yang menunjukkan aliran instruksi jadwal atau pesanan yang dikomunikasikan secara manual melalui kertas atau lisan.,Menyampaikan pesan dengan memo tempel Post-It atau berbicara tatap muka.,Mahasiswa menyebutkan menu pesanan secara lisan ke kasir di konter.,"Rentan terhadap salah dengar, salah baca tulisan tangan, serta keterlambatan fisik pengantaran."
9,Alur Informasi Digital (Sistem / Elektronik),Electronic Information Flow,Alur Informasi,"Garis panah zig-zag berbentuk sambaran petir yang melambangkan transmisi data secara instan melalui sistem digital, LAN, internet, atau API.",Pesan chat instan WhatsApp atau transaksi pembayaran kartu kredit.,Pesanan dari aplikasi QR menu langsung terkirim secara instan ke layar monitor dapur (KDS).,Solusi utama Lean To-Be untuk melenyapkan waktu tunggu (zero delay communication) dan memangkas waktu kirim informasi.
10,Kotak Pusat Kendali (Production Control / Central),Production Control Box,Alur Informasi,"Kotak kontrol pusat yang bertugas merencanakan jadwal kerja, mengelola pesanan, dan menginstruksikan operasional harian.",Menara kontrol bandara (ATC) yang memandu jadwal lepas landas dan mendarat pesawat.,Pengelola Kasir QuickBite yang menerima pesanan mahasiswa dan mendistribusikan nota ke staf dapur.,Pusat kendali aliran nilai; menentukan apakah sistem berjalan lambat berbasis batch atau lincah berbasis arus satuan.
